dex,name,animationTime/0,animationTime/1,animationTime/2,animationTime/3,animationTime/4,animationTime/5,animationTime/6,animationTime/7,height,modelHeight,kmBuddyDistance,weight,modelScale,id,maxCP,cinematicMoves/0/name,cinematicMoves/0/id,cinematicMoves/1/name,cinematicMoves/1/id,cinematicMoves/2/name,cinematicMoves/2/id,quickMoves/0/name,quickMoves/0/id,quickMoves/1/name,quickMoves/1/id,family/id,family/name,stats/baseAttack,stats/baseDefense,stats/baseStamina,types/0/id,types/0/name,types/1/id,types/1/name,encounter/attackProbability,encounter/attackTimer,encounter/baseFleeRate,encounter/baseCaptureRate,encounter/cameraDistance,encounter/collisionRadius,encounter/dodgeDistance,encounter/dodgeProbability,encounter/jumpTime,encounter/maxPokemonActionFrequency,encounter/minPokemonActionFrequency,encounter/movementType/name,encounter/movementType/id,encounter/gender/malePercent,encounter/gender/femalePercent,camera/cylinderRadius,camera/diskRadius,camera/shoulderModeScale,evolution/futureBranches/0/name,evolution/futureBranches/0/id,evolution/futureBranches/0/futureBranches/0/name,evolution/futureBranches/0/futureBranches/0/id,evolution/futureBranches/0/futureBranches/0/costToEvolve/candyCost,evolution/futureBranches/0/costToEvolve/candyCost,buddySize/id,buddySize/name,evolution/pastBranch/name,evolution/pastBranch/id,evolution/costToEvolve/candyCost,evolution/pastBranch/pastBranch/name,evolution/pastBranch/pastBranch/id,evolution/pastBranch/costToEvolve/candyCost,camera/cylinderGround,encounter/movementType,evolution/futureBranches/0/futureBranches/1/name,evolution/futureBranches/0/futureBranches/1/id,evolution/futureBranches/0/futureBranches/1/costToEvolve/candyCost,evolution/futureBranches/0/futureBranches/1/costToEvolve/evolutionItem/id,evolution/futureBranches/0/futureBranches/1/costToEvolve/evolutionItem/name,evolution/futureBranches/1/name,evolution/futureBranches/1/id,evolution/futureBranches/1/costToEvolve/candyCost,evolution/futureBranches/1/costToEvolve/evolutionItem/id,evolution/futureBranches/1/costToEvolve/evolutionItem/name,evolution/futureBranches/0/costToEvolve/evolutionItem/id,evolution/futureBranches/0/costToEvolve/evolutionItem/name,cinematicMoves/3/name,cinematicMoves/3/id,evolution/futureBranches/0/futureBranches/0/costToEvolve/evolutionItem/id,evolution/futureBranches/0/futureBranches/0/costToEvolve/evolutionItem/name,evolution/futureBranches/2/name,evolution/futureBranches/2/id,evolution/futureBranches/2/costToEvolve/candyCost,evolution/futureBranches/3/name,evolution/futureBranches/3/id,evolution/futureBranches/3/costToEvolve/candyCost,evolution/futureBranches/4/name,evolution/futureBranches/4/id,evolution/futureBranches/4/costToEvolve/candyCost,rarity/id,rarity/name,cinematicMoves/4/name,cinematicMoves/4/id,cinematicMoves/5/name,cinematicMoves/5/id,cinematicMoves/6/name,cinematicMoves/6/id,cinematicMoves/7/name,cinematicMoves/7/id,evolution/costToEvolve/evolutionItem/id,evolution/costToEvolve/evolutionItem/name,evolution/futureBranches/1/futureBranches/0/name,evolution/futureBranches/1/futureBranches/0/id,evolution/futureBranches/1/futureBranches/0/costToEvolve/candyCost,evolution/futureBranches/0/costToEvolve/kmBuddyDistance,evolution/costToEvolve/kmBuddyDistance
11,Metapod,1.3333,0.6667,1.8333,1.6667,0,1.5667,2,0,0.7,0.7,1,9.9,1.17,METAPOD,419,Struggle,STRUGGLE,,,,,Bug Bite Fast,BUG_BITE_FAST,Tackle Fast,TACKLE_FAST,FAMILY_CATERPIE,Caterpie,45,94,100,POKEMON_TYPE_BUG,Bug,,,0.1,3600,0.09,0.25,2.6325,0.117,1,,,1.6,0.2,,,0.5,0.5,0.351,0.5265,0.5,Butterfree,BUTTERFREE,,,,50,,,Caterpie,CATERPIE,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Butterfree,2,0.6667,1.7333,0.6667,0,2.4667,2.1333,0,1.1,0.95,1,32,1.11,BUTTERFREE,1701,Bug Buzz,BUG_BUZZ,Psychic,PSYCHIC,Signal Beam,SIGNAL_BEAM,Struggle Bug Fast,STRUGGLE_BUG_FAST,Confusion Fast,CONFUSION_FAST,FAMILY_CATERPIE,Caterpie,167,151,120,POKEMON_TYPE_BUG,Bug,POKEMON_TYPE_FLYING,Flying,0.1,17,0.06,0.125,4.995,0.1665,1,0.2,1,1.6,0.2,Movement Flying,MOVEMENT_FLYING,0.5,0.5,0.666,0.999,0.5,,,,,,,BUDDY_FLYING,Flying,Metapod,METAPOD,50,Caterpie,CATERPIE,12,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Weedle,0,0.6667,1.6667,1.8333,0,1.6667,2,0,0.3,0.18,1,3.2,2.09,WEEDLE,397,Struggle,STRUGGLE,,,,,Bug Bite Fast,BUG_BITE_FAST,Poison Sting Fast,POISON_STING_FAST,FAMILY_WEEDLE,Weedle,63,55,80,POKEMON_TYPE_BUG,Bug,POKEMON_TYPE_POISON,Poison,0.1,29,0.2,0.5,1.5675,0.1045,1,0.15,1.25,1.6,0.2,Movement Jump,MOVEMENT_JUMP,0.5,0.5,0.1,0.3135,0.5,Kakuna,KAKUNA,Beedrill,BEEDRILL,50,12,BUDDY_SHOULDER,Shoulder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Kakuna,0,0.6667,0,1.6667,0,2,2.5,0,0.6,0.6,1,10,1.25,KAKUNA,392,Struggle,STRUGGLE,,,,,Bug Bite Fast,BUG_BITE_FAST,Poison Sting Fast,POISON_STING_FAST,FAMILY_WEEDLE,Weedle,46,86,90,POKEMON_TYPE_BUG,Bug,POKEMON_TYPE_POISON,Poison,0.2,3600,0.09,0.25,2.8125,0.25,1,,,1.6,0.2,,,0.5,0.5,0.25,0.375,0.5,Beedrill,BEEDRILL,,,,50,,,Weedle,WEEDLE,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Beedrill,1.6667,0.6667,1.6667,0.6667,0.2,1.8,1.3333,0,1,1.28,1,29.5,0.77,BEEDRILL,1777,Sludge Bomb,SLUDGE_BOMB,Aerial Ace,AERIAL_ACE,X Scissor,X_SCISSOR,Infestation Fast,INFESTATION_FAST,Poison Jab Fast,POISON_JAB_FAST,FAMILY_WEEDLE,Weedle,169,150,130,POKEMON_TYPE_BUG,Bug,POKEMON_TYPE_POISON,Poison,0.4,17,0.06,0.125,3.465,0.308,0.25,0.2,1,1.6,0.2,Movement Electric,MOVEMENT_ELECTRIC,0.5,0.5,0.6,0.693,0.5,,,,,,,BUDDY_FLYING,Flying,Kakuna,KAKUNA,50,Weedle,WEEDLE,12,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Pidgey,1.6667,0.6667,1.6667,1.8333,0,1.8333,0.8,1.333333,0.3,0.3,1,1.8,1.68,PIDGEY,580,Twister,TWISTER,Aerial Ace,AERIAL_ACE,Air Cutter,AIR_CUTTER,Quick Attack Fast,QUICK_ATTACK_FAST,Tackle Fast,TACKLE_FAST,FAMILY_PIDGEY,Pidgey,85,76,80,POKEMON_TYPE_NORMAL,Normal,POKEMON_TYPE_FLYING,Flying,0.1,29,0.2,0.5,1.89,0.1344,1,0.15,1.4,1.6,0.2,Movement Jump,MOVEMENT_JUMP,0.5,0.5,0.252,0.378,0.5,Pidgeotto,PIDGEOTTO,Pidgeot,PIDGEOT,50,12,BUDDY_SHOULDER,Shoulder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Pidgeotto,2.6667,0.6667,2,0.8,0,2,0.6667,0,1.1,1.74,1,30,0.79,PIDGEOTTO,1085,Twister,TWISTER,Aerial Ace,AERIAL_ACE,Air Cutter,AIR_CUTTER,Wing Attack Fast,WING_ATTACK_FAST,Steel Wing Fast,STEEL_WING_FAST,FAMILY_PIDGEY,Pidgey,117,108,126,POKEMON_TYPE_NORMAL,Normal,POKEMON_TYPE_FLYING,Flying,0.1,29,0.09,0.25,4,0.316,1,0.15,1,1.6,0.2,Movement Flying,MOVEMENT_FLYING,0.5,0.5,1,0.711,0.5,Pidgeot,PIDGEOT,,,,50,BUDDY_FLYING,Flying,Pidgey,PIDGEY,12,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Pidgeot,2.0667,0.6667,1.6667,0.6667,0,2,1.8,0,1.5,2.18,1,39.5,0.72,PIDGEOT,1994,Hurricane,HURRICANE,Aerial Ace,AERIAL_ACE,Brave Bird,BRAVE_BIRD,Air Slash Fast,AIR_SLASH_FAST,Steel Wing Fast,STEEL_WING_FAST,FAMILY_PIDGEY,Pidgey,166,157,166,POKEMON_TYPE_NORMAL,Normal,POKEMON_TYPE_FLYING,Flying,0.2,17,0.06,0.125,5.4,0.36,1,0.15,1,1.6,0.2,Movement Flying,MOVEMENT_FLYING,0.5,0.5,1.2,1.296,0.5,,,,,,,BUDDY_FLYING,Flying,Pidgeotto,PIDGEOTTO,50,Pidgey,PIDGEY,12,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Rattata,1.9,0.6667,1.8,1.7667,0,2.4,0.8667,0,0.3,0.42,1,3.5,1.26,RATTATA,588,Dig,DIG,Hyper Fang,HYPER_FANG,Body Slam,BODY_SLAM,Tackle Fast,TACKLE_FAST,Quick Attack Fast,QUICK_ATTACK_FAST,FAMILY_RATTATA,Rattata,103,70,60,POKEMON_TYPE_NORMAL,Normal,,,0.2,29,0.2,0.5,1.89,0.189,1,0.3,0.9,1.6,0.2,Movement Jump,MOVEMENT_JUMP,0.5,0.5,0.252,0.378,0.5,Raticate,RATICATE,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Raticate,1.6667,0.6667,1.7333,1.6667,0,2,2.0667,0,0.7,0.7,1,18.5,1.17,RATICATE,1549,Dig,DIG,Hyper Fang,HYPER_FANG,Hyper Beam,HYPER_BEAM,Bite Fast,BITE_FAST,Quick Attack Fast,QUICK_ATTACK_FAST,FAMILY_RATTATA,Rattata,161,144,110,POKEMON_TYPE_NORMAL,Normal,,,0.2,8,0.07,0.2,3.94875,0.2925,1,0.15,1,1.6,0.2,Movement Jump,MOVEMENT_JUMP,0.5,0.5,0.5265,0.7898,0.5,,,,,,,,,Rattata,RATTATA,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Spearow,1.5333,0.6667,1.6667,1.8333,0,2.3333,0.8,0,0.3,0.4,1,2,1.48,SPEAROW,673,Aerial Ace,AERIAL_ACE,Drill Peck,DRILL_PECK,Sky Attack,SKY_ATTACK,Peck Fast,PECK_FAST,Quick Attack Fast,QUICK_ATTACK_FAST,FAMILY_SPEAROW,Spearow,112,61,80,POKEMON_TYPE_NORMAL,Normal,POKEMON_TYPE_FLYING,Flying,0.1,29,0.15,0.5,2.22,0.148,1,0.15,1.25,1.6,0.2,Movement Jump,MOVEMENT_JUMP,0.5,0.5,0.296,0.444,0.5,Fearow,FEAROW,,,,50,BUDDY_SHOULDER,Shoulder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Fearow,2.6667,0.6667,1.6667,0.8333,0,2.3333,1.6667,0,1.2,1.5,1,38,0.84,FEAROW,1814,Aerial Ace,AERIAL_ACE,Drill Run,DRILL_RUN,Sky Attack,SKY_ATTACK,Peck Fast,PECK_FAST,Steel Wing Fast,STEEL_WING_FAST,FAMILY_SPEAROW,Spearow,182,135,130,POKEMON_TYPE_NORMAL,Normal,POKEMON_TYPE_FLYING,Flying,0.1,23,0.07,0.2,3.9375,0.252,1,0.15,1,1.6,0.2,Movement Flying,MOVEMENT_FLYING,0.5,0.5,1,1.26,0.375,,,,,,,BUDDY_FLYING,Flying,Spearow,SPEAROW,50,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Ekans,1.7333,0.6667,1.6667,1.8333,0,2.2,1.6,0,2,0.28,3,6.9,1.73,EKANS,778,Wrap,WRAP,Poison Fang,POISON_FANG,Sludge Bomb,SLUDGE_BOMB,Poison Sting Fast,POISON_STING_FAST,Acid Fast,ACID_FAST,FAMILY_EKANS,Ekans,110,102,70,POKEMON_TYPE_POISON,Poison,,,0.2,10,0.15,0.5,3.24375,0.2595,1,0.1,1.25,1.6,0.2,Movement Jump,MOVEMENT_JUMP,0.5,0.5,0.3,0.6488,0.375,Arbok,ARBOK,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Arbok,2.6667,0.6667,1.6667,1.5,0,2.6667,2.6667,0,3.5,1.6,3,65,0.82,ARBOK,1737,Dark Pulse,DARK_PULSE,Sludge Wave,SLUDGE_WAVE,Gunk Shot,GUNK_SHOT,Bite Fast,BITE_FAST,Acid Fast,ACID_FAST,FAMILY_EKANS,Ekans,167,158,120,POKEMON_TYPE_POISON,Poison,,,0.1,8,0.07,0.2,5.07375,0.41,1,0.15,1,1.6,0.2,Movement Jump,MOVEMENT_JUMP,0.5,0.5,0.615,0.9225,0.5,,,,,,,BUDDY_BIG,Big,Ekans,EKANS,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Pikachu,1.8333,0.6667,1.6,1.5667,0,1.8,1.1333,1.066667,0.4,0.4,1,6,1.48,PIKACHU,787,Discharge,DISCHARGE,Thunderbolt,THUNDERBOLT,Wild Charge,WILD_CHARGE,Thunder Shock Fast,THUNDER_SHOCK_FAST,Quick Attack Fast,QUICK_ATTACK_FAST,FAMILY_PIKACHU,Pikachu,112,101,70,POKEMON_TYPE_ELECTRIC,Electric,,,0.1,29,0.1,0.2,2.775,0.185,1,0.15,1,1.6,0.2,Movement Jump,MOVEMENT_JUMP,0.5,0.5,0.37,0.555,0.5,Raichu,RAICHU,,,,50,BUDDY_SHOULDER,Shoulder,Pichu,PICHU,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Raichu,2.2333,0.6667,2,2,0,2.6667,1,1.133333,0.8,0.83,1,30,1.08,RAICHU,2025,Brick Break,BRICK_BREAK,Thunder Punch,THUNDER_PUNCH,Wild Charge,WILD_CHARGE,Volt Switch Fast,VOLT_SWITCH_FAST,Spark Fast,SPARK_FAST,FAMILY_PIKACHU,Pikachu,193,165,120,POKEMON_TYPE_ELECTRIC,Electric,,,0.1,17,0.06,0.1,4,0.27,1,0.15,1.25,1.6,0.2,Movement Jump,MOVEMENT_JUMP,0.5,0.5,0.486,0.729,0.5,,,,,,,,,Pikachu,PIKACHU,50,Pichu,PICHU,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Sandshrew,1.8,0.6667,1.4667,1.6667,0,2.6667,1,0,0.6,0.55,3,12,1.29,SANDSHREW,1194,Dig,DIG,Rock Slide,ROCK_SLIDE,Sand Tomb,SAND_TOMB,Scratch Fast,SCRATCH_FAST,Mud Shot Fast,MUD_SHOT_FAST,FAMILY_SANDSHREW,Sandshrew,126,145,100,POKEMON_TYPE_GROUND,Ground,,,0.1,23,0.1,0.5,3,0.258,1,0.15,1,1.6,0.2,Movement Jump,MOVEMENT_JUMP,0.5,0.5,0.4,0.4838,0.5,Sandslash,SANDSLASH,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Sandslash,1.7333,0.6667,1.6667,1.6667,0,2,1.6,0,1,1,3,29.5,1,SANDSLASH,2328,Earthquake,EARTHQUAKE,Rock Tomb,ROCK_TOMB,Bulldoze,BULLDOZE,Metal Claw Fast,METAL_CLAW_FAST,Mud Shot Fast,MUD_SHOT_FAST,FAMILY_SANDSHREW,Sandshrew,182,202,150,POKEMON_TYPE_GROUND,Ground,,,0.1,4,0.06,0.2,3.75,0.35,1,0.15,1,1.6,0.2,Movement Jump,MOVEMENT_JUMP,0.5,0.5,0.4,0.6,0.5,,,,,,,,,Sandshrew,SANDSHREW,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Nidoran Female,1.3333,0.6667,1.6667,1.8333,0,1.6667,2.1333,0,0.4,0.4,3,7,1.48,NIDORAN_FEMALE,736,Poison Fang,POISON_FANG,Body Slam,BODY_SLAM,Sludge Bomb,SLUDGE_BOMB,Bite Fast,BITE_FAST,Poison Sting Fast,POISON_STING_FAST,FAMILY_NIDORAN_FEMALE,Nidoran Female,86,94,110,POKEMON_TYPE_POISON,Poison,,,0.1,10,0.15,0.5,2.775,0.185,1,0.15,1.25,1.6,0.2,Movement Jump,MOVEMENT_JUMP,0,1,0.3,0.555,0.5,Nidorina,NIDORINA,Nidoqueen,NIDOQUEEN,100,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
